"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Brissat Pesseroles Mas Martinet","2021","2","CAV 4 - ATICO","Brissat Pesseroles Mas Martinet | 2021 | 2 | CAV 4 - ATICO"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Can Sumoi","2024","2","","Can Sumoi | 2024 | 2"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Cantalapiedra Chiviritero","2023","2","CAV 3 - 2 IZQ","Cantalapiedra Chiviritero | 2023 | 2 | CAV 3 - 2 IZQ"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Chivite 125 blanco","2023","1","CAV 2 - 10 DER","Chivite 125 blanco | 2023 | 1 | CAV 2 - 10 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Do Ferreiro Cepas Vellas","2024","2","CAV 4 - 1 CEN","Do Ferreiro Cepas Vellas | 2024 | 2 | CAV 4 - 1 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Dominio del Aguila Viñas Viejas","2020","3","CAV 4 - 2 DER","Dominio del Aguila Viñas Viejas | 2020 | 3 | CAV 4 - 2 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Doniene Gorrondona","2023","2","CAV 4 - 0 CEN","Doniene Gorrondona | 2023 | 2 | CAV 4 - 0 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","El Cerrico","2021","2","CAV 2 - 6 DER","El Cerrico | 2021 | 2 | CAV 2 - 6 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Electio","2022","2","CAV 3 - 1 DER","Electio | 2022 | 2 | CAV 3 - 1 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Fábregas Blanco","2021","2","","Fábregas Blanco | 2021 | 2"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Finca Calvestra","2024","2","CAV 3 - 1 IZQ","Finca Calvestra | 2024 | 2 | CAV 3 - 1 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Flor de Albihar Rico Nuevo","2021","2","CAV 2 - 5 IZQ","Flor de Albihar Rico Nuevo | 2021 | 2 | CAV 2 - 5 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Flor de Muga Blanco","2022","2","CAV 3 - 3 CEN","Flor de Muga Blanco | 2022 | 2 | CAV 3 - 3 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Guímaro Cepas Vellas","2024","2","CAV 2 - 5 DER","Guímaro Cepas Vellas | 2024 | 2 | CAV 2 - 5 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Hombre bala Albillo","2023","2","CAV 2 - 5 CEN","Hombre bala Albillo | 2023 | 2 | CAV 2 - 5 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Joaquín Rebolledo Trasdairelas","2024","2","CAV 2 - 6 IZQ","Joaquín Rebolledo Trasdairelas | 2024 | 2 | CAV 2 - 6 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","José Pariente La Medina","2024","1","CAV 3 - 2 CEN","José Pariente La Medina | 2024 | 1 | CAV 3 - 2 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Kalamity","2023","2","CAV 3 - 3 DER","Kalamity | 2023 | 2 | CAV 3 - 3 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","La caña navia","2024","2","CAV 4 - 1 IZQ","La caña navia | 2024 | 2 | CAV 4 - 1 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","La del vivo","2023","2","CAV 3 - 3 DER","La del vivo | 2023 | 2 | CAV 3 - 3 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","La llorona","2024","2","CAV 4 - 3 CEN","La llorona | 2024 | 2 | CAV 4 - 3 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","La Salvación","2023","2","CAV 4 - 3 IZQ","La Salvación | 2023 | 2 | CAV 4 - 3 IZQ"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Lalume Dominio de Bibei","2023","2","CAV 2 - 5 DER","Lalume Dominio de Bibei | 2023 | 2 | CAV 2 - 5 DER"
