pod,descripcion,ano,bodega_produtor,unidades_bodega,localizacion_bodega
POD018782,Bruno Colin Puligny 1C Truffiere 23-,2023,Bruno Colin,6,CAVA 8 · BALDA 6 · IZQ
POD018783,Bruno Colin Chass 1C Maltroie 23-,2023,Bruno Colin,2,CAVA 8 · BALDA 7 · IZQ
POD018785,Bruno Colin Chass 1C En Remilly 23-,2023,Bruno Colin,3,CAVA 8 · BALDA 6 · IZQ
POD018863,Taittinger Comtes de Champagne 14-,2014,Taittinger,2,CAVA 10 · BALDA 2 · IZQ
POD019221,Pacalet Puligny Montrachet 23-,2023,Philippe Pacalet,3,CAVA 8 · BALDA 8 · CEN
POD019235,Ch Fuisse Pouilly 1C Clos 23-,2023,Château de Fuissé,2,CAVA 10 · BALDA 4 · D
POD019244,Pacalet Echezeaux 23-,2023,Philippe Pacalet,2,CAVA 5 · BALDA 2 · DER
POD019266,G Vernay St Agathe Syrah 23-,2023,Georges Vernay,1,CAVA 6 · BALDA 6 · DER
POD019267,G Vernay Cond Terras l'empire 23-,2023,Georges Vernay,3,CAVA 10 · BALDA 5 · DER
POD019269,G Vernay Cot Rot Blond Seign 22-,2022,Georges Vernay,3,CAVA 6 · BALDA 5 · IZQ
POD019281,Magnien Ruchottes Chambertin 23-,2023,Henri Magnien,2,CAVA 5 · BALDA 3 · IZQ
POD019290,Pierre Morey Batard Montrachet 23-,2023,Pierre Morey,3,CAVA 8 · BALDA 3 · IZQ
POD019293,La Janasse Chateauneuf 23-,2023,Domaine de La Janasse,3,CAVA 6 · BALDA 4 · C
POD019295,La Janasse Chateauneuf BL 24-,2024,Domaine de La Janasse,3,CAVA 10 · BALDA 4 · A
POD019325,Le Vieux Donjon Chateauneuf 23-,2023,Le Vieux Donjon,2,CAVA 6 · BALDA 4 · A
POD019327,Le Vieux Donjon Chat Pape BL 24-,2024,Le Vieux Donjon,3,CAVA 10 · BALDA 4 · A
POD019346,F Carillon S Aub Murg Dent Ch 23-,2023,François Carillon,2,CAVA 7 · BALDA 7 · IZQ
POD019351,Vincent Girardin Batard Montrachet 23-,2023,Vincent Girardin,2,CAVA 8 · BALDA 3 · CEN
POD019355,Vincent Girardin Puligny 1C Combettes 23-,2023,Vincent Girardin,2,CAVA 8 · BALDA 6 · CEN
POD019381,Pacalet Charmes Chambertin 23,2023,Philippe Pacalet,2,CAVA 5 · BALDA 2 · DER
POD019406,Pierre Vincent Corton Charlem 23-,2023,Pierre Vincent,1,CAVA 8 · BALDA 5 · D
POD019410,Vincent Girardin Chassagne Cailleret 23-,2023,Vincent Girardin,1,CAVA 8 · BALDA 7 · DER
POD019447,Occhipinti Il Frapatto 23-,2023,Occhipinti,2,CAVA 9 · BALDA 7 · DER
POD019459,Vietti Derthona Timorasso 23-,2023,Vietti,2,CAVA 10 · BALDA 6 · IZQ
POD019460,Baricchi Ça Va Sans Dire 16-,2016,Baricchi,3,CAVA 10 · BALDA 7 · DER
POD019467,Pascal Cotat La Grande Cote 23-,2023,Pascal Cotat,4,CAVA 10 · BALDA 1 · DER
POD019468,Pascal Cotat Monts Damnes 23-,2023,Pascal Cotat,6,CAVA 10 · BALDA 3 · DER
POD019652,Cos Rami Grillo e Insolia 23-,2023,Cos,3,CAVA 10 · BALDA 7 · IZQ
POD019749,La Fortuna 22-,2022,Dominio de la Bienvenida,3,CAVA 4 · BALDA 4 · CEN
POD019762,D Ponsot Clos de la Roche VV 23-,2023,Domaine Ponsot,2,CAVA 5 · BALDA 3 · DER
POD019763,Guiberteau Arboises 22-,2022,Domaine Guiberteau,6,CAVA 6 · BALDA 3 · IZQ
POD019792,Pacherhof Kerner 23-,2023,Pacherhof,3,CAVA 10 · BALDA 6 · DER
POD_TEMP_1013,Guicciardini Strozzi Blanco 2020,2020,Guicciardini Strozzi,2,CAVA 10 · BALDA 6 · DER
POD_TEMP_1054,Storm Ridge Pinot Noir 22-,2022,Storm,5,CAVA 10 · BALDA 3 · CEN / CAVA 10 · BALDA 3 · IZQ
POD_TEMP_1086,Domaine Bart Tinto 2023,2023,Domaine Bart,1,CAVA 5 · BALDA 3 · IZQ
