source_file,producer,item,ano_raw,best_pod,best_score,final_pod,final_kind,reason
222 borgoña_tintos.pdf,Lucien Muzard,Santenay ‘Maladière’,2023,POD019372,0.67,POD_TEMP_BM2_0057,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Michel Lafarge,Bourgogne,2022,POD_TEMP_1021,0.6494,POD_TEMP_BM2_0058,temp_pod,low_score
222 borgoña_tintos.pdf,Michel Noëllat,Clos de Vougeot,2015,POD012269,0.62,POD_TEMP_BM2_0059,temp_pod,low_score
222 borgoña_tintos.pdf,Pacalet,Clos de Vougeot (Grand Cru),2023,POD019369,0.688,POD019369,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Pacalet,Nuits-Saint-Georges,2023,POD019214,0.7187,POD019214,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Pacalet,Vosne-Romanée 1er Cru Les Chaumes,2023,POD019223,0.6267,POD_TEMP_BM2_0060,temp_pod,low_score
222 borgoña_tintos.pdf,Pierre Damoy,Chambertin Clos de Bèze (Grand Cru),2018,POD010029,0.575,POD_TEMP_BM2_0061,temp_pod,low_score
222 borgoña_tintos.pdf,Pierre Morey,Volnay 1er Cru Pitures,2023,POD019409,0.6867,POD_TEMP_BM2_0062,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Prieuré Roch,Chambertin (Grand Cru),2022,POD017733,0.732,POD017733,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,Prieuré Roch,Latricières-Chambertin (Grand Cru),2021,POD017727,0.7143,POD_TEMP_BM2_0063,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Prieuré Roch,Vin de France,2022,POD017727,0.7132,POD_TEMP_BM2_0064,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,Prieuré Roch,Vosne-Romanée,2020,POD010092,0.71,POD010092,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,de Eugénie,Clos de Vougeot (Grand Cru),2021,POD016345,0.6951,POD016345,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,des Lambrays,Morey-Saint-Denis 1er Cru Clos Baulet,2022,POD017472,0.6568,POD017472,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,des Lambrays,Morey-Saint-Denis 1er Cru Clos Sorbè,2022,POD017473,0.69,POD017473,existing_pod,score_ok_no_conflict
222 borgoña_tintos.pdf,des Perdrix,Nuits-Saint-Georges 1er Cru Aux Perdrix,2022,POD012539,0.6948,POD_TEMP_BM2_0065,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,des Perdrix,Nuits-Saint-Georges 1er Cru Aux Perdrix,2023,POD012539,0.6248,POD_TEMP_BM2_0066,temp_pod,best_pod_conflict
222 borgoña_tintos.pdf,des Perdrix,Échezeaux (Grand Cru),2023,POD019308,0.6495,POD_TEMP_BM2_0067,temp_pod,low_score
italia.pdf,Crissante,Barolo (La Morra),2021,POD018184,0.6975,POD018184,existing_pod,score_ok_no_conflict
italia.pdf,Tenuta delle Terre Nere,Calderara Sottana,2022,POD017654,0.7233,POD017654,existing_pod,score_ok_no_conflict
