page,y,name,ano,qty,pos,compact_loc
25,425.0,Chivite 125 Rosado,2024,2,CAV 2 - 9 DER,2·9·DER
25,410.0,Dido La Soució Rosa,2023,2,CAV 2 - 9 CEN,2·9·CEN
25,394.5,Flor de Muga Rosado,2024,3,CAV 2 - 9 DER,2·9·DER
25,379.5,Marqués de Murrieta Primer Rose,2024,2,CAV 2 - 9 DER,2·9·DER
25,364.0,Palito V Clarete,2024,2,CAV 2 - 9 CEN,2·9·CEN
25,349.0,Pícaro del Águila Clarete,2023,2,CAV 2 - 9 DER,2·9·DER
25,334.0,Territorio Luthier Clarete,2020,2,CAV 2 - 9 IZQ,2·9·IZQ
25,318.5,XF de Sierra Cantabria,2024,2,CAV 2 - 10 DER,2·10·DER
25,288.0,Calafuria,2023,2,CAV 2 - 8 IZQ,2·8·IZQ
25,273.0,Miraval,2024,2,CAV 2 - 8 DER,2·8·DER
25,257.5,Peyrassol,2024,2,CAV 2 - 8 CEN,2·8·CEN
25,242.5,Source of joy,2024,1,CAV 2 - 8 CEN,2·8·CEN
25,227.0,Whispering Angel,2024,3,CAV 2 - 8 DER,2·8·DER
32,761.5,4 Kilos,2023,2,CAV 4 - 4B IZQ,4·4B·IZQ
32,746.5,4 monos Cien Lanzas,2022,2,CAV 3 - 6 IZQ,3·6·IZQ
32,732.0,Abadia Retuerta cuvee Palomar,2021,2,CAV 4 - 2 DER,4·2·DER
32,717.5,Abadia Retuerta Selección Especial,2021,2,CAV 4 - 9 DER,4·9·DER
32,703.0,Aciano,2021,2,CAV 4 - 9 IZQ,4·9·IZQ
32,688.5,Alion,2021,2,CAV 3 - SUELO IZQ,3·SUELO·IZQ
32,674.0,Alonso del Yerro,2021,4,CAV 1 - 4 CEN,1·4·CEN
32,659.5,Alto de la Cruz,2022,2,CAV 3 - 6 IZQ,3·6·IZQ
32,645.0,Anza,2023,2,CAV 3 - 10 DER,3·10·DER
32,630.5,Anza Carramonte,2022,1,CAVA 3 - 6 CEN,3·6·CEN
32,616.0,Anza la Canoca,2022,1,CAVA 3 - 6 CEN,3·6·CEN
32,601.5,Arrocal Paraje Colmenares,2023,2,CAV 4 - 8 IZQ,4·8·IZQ
32,587.0,Artadi La Poza de Ballesteros,2020,1,CAV 3 - 5 IZQ,3·5·IZQ
32,572.5,Artadi La Poza de Ballesteros,2020,1,CAV 3 - 5 IZQ,3·5·IZQ
32,558.0,Artadi La Poza de Ballesteros,2020,1,CAV 3 - 5 IZQ,3·5·IZQ
32,543.5,Ausàs,2022,2,CAV 4 - 8 DER,4·8·DER
32,529.0,Bideona Laguardia,2018,2,CAV 3 - 10 IZQ,3·10·IZQ
32,514.5,Bideona Samaniego,2020,2,CAV 3 - 10 IZQ,3·10·IZQ
32,500.0,Bosque de Matasnos Edición Limitada,2022,2,CAV 4 - 6 IZQ,4·6·IZQ
32,485.5,Bosque Matasnos Et Blanca,2022,4,CAV 1 - 4 DER,1·4·DER
32,471.0,Casa Lebai Matadiablos,2022,2,CAV 4 - 7 CEN,4·7·CEN
32,456.5,Castillo de Ygay,2005,1,CAV 3 - 5 DER,3·5·DER
32,413.0,Cerrón La Servil,2023,2,CAV 4 - 10 IZQ,4·10·IZQ
