"nome","anada","bodega","tipo"
"[TEMP] 1900 – Pinotage 20-","2020","Spioenkop","Tinto"
"[TEMP] Chardonnay 22-","2022","Summum","Blanco"
"[TEMP] Napa Valley 15-","2015","Promontory","Tinto"
"[TEMP] Napa Valley 16-","2016","Promontory","Tinto"
"[TEMP] Napa Valley 18-","2018","Promontory","Tinto"
"[TEMP] Napa Valley 19-","2019","Promontory","Tinto"
"[TEMP] La Rinconada Vineyard – Lompoc, CA 19-","2019","Racines","Tinto"
"[TEMP] La Rinconada Vineyard – Lompoc, CA 20-","2020","Racines","Tinto"
"[TEMP] Cabernet Sauvignon – Oakville, Napa Valley 19-","2019","Screaming Eagle","Tinto"
"[TEMP] Cabernet Sauvignon – Oakville, Napa Valley 21-","2021","Screaming Eagle","Tinto"
"[TEMP] Mount Bullet – South Africa 20-","2020","Shannon","Tinto"
