pod,source_file,producer,item,ano_raw,gap_type,units_now,units_expected,loc_now,loc_expected
POD018873,italia.pdf,Borgogno,Langhe Nebbiolo ‘Rivata’,2023,location,,2,,9·2·IZQ
POD019206,usa_y_sudafrica_TO.pdf,Besson Frères,Pinot Noir,2022,location,,3,,7·2·IZQ
POD019223,222 borgoña_tintos.pdf,Pacalet,Vosne-Romanée 1er Cru Les Chaumes,2023,location,,2,,4·8·DER / 5·1·DER
POD019282,222 borgoña_tintos.pdf,D. de l’Arlot,Nuits-Saint-Georges 1er Cru Clos de l’Arlot,2023,location,,5,,4·1·CEN / 4·3·DER
POD019284,222 borgoña_tintos.pdf,D. L’Arlot,Romanée-Saint-Vivant (Grand Cru),2023,location,,3,,5·6·IZQ
POD019308,222 borgoña_tintos.pdf,des Perdrix,Échezeaux (Grand Cru),2023,location,,3,,5·4·DER
POD019317,222 borgoña_tintos.pdf,Jean Grivot,Romanée-Saint-Vivant (Grand Cru),2023,location,,2,,5·5·C / 5·6·CEN
POD019361,222 borgoña_blancos.pdf,Vincent Girardin,Meursault Vieilles Vignes,2023,location,,4,,7·3·DER / 8·6·CEN
POD019372,222 borgoña_blancos.pdf,Lucien Muzard,Saint-Aubin 1er Cru Sur le Sentier du Clou,2023,location,,6,,7·7·IZQ / 4·2·IZQ
POD019409,222 borgoña_blancos.pdf,Pierre Morey,Puligny-Montrachet 1er Cru Champ Gain,2023,location,,6,,8·1·CEN / 4·3·IZQ
POD019636,222 borgoña_blancos.pdf,Le Puy de l’Ours,Savigny-lès-Beaune Les Goudelettes,2023,location,,1,,7·7·DER
POD019757,usa_y_sudafrica_TO.pdf,La Source,Chardonnay,2023,location,,3,,8·4·DER
POD019768,resto_francia.pdf,Isabel Ferrando (Saint Préfert),Côte-Rôtie ‘Les Grandes Places’,2022,location,,2,,6·4·A
POD019795,resto_francia_italia_blancos.pdf,Filippi,Foglio 1,2023,location,,1,,10·6·CEN
POD_TEMP_1010,resto_francia_italia_blancos.pdf,Taittinger,Hermitage Blanc,2022,location,,3,,10·5·IZQ
POD_TEMP_1021,222 borgoña_tintos.pdf,Michel Lafarge,Bourgogne,2022,location,,3,,4·7·IZQ
POD_TEMP_1051,222 borgoña_tintos.pdf,Pacalet,Morey-Saint-Denis ‘La Rue de Vergy’,2019,location,,3,,5·7·IZQ
POD_TEMP_1093,resto_francia.pdf,Isabel Ferrando (Saint Préfert),Châteauneuf-du-Pape,2023,location,,3,,6·4·C
