orden,excel_row,tipo,cava,area,balda,linea,sublinea,es_checklist,entrada_sin_checkbox,vino_sin_cantidad,cantidad,cantidad_raw,nota_post_cantidad,texto_excel,item_id,item_part,item_total_parts,item_entrada_completa,item_vino_sin_cantidad_completo,item_cantidad,item_cantidad_raw,item_nota_post_cantidad
41,50,ITEM,CAVA A,,BALDA 9,,,False,Ruinart Rose x6,Ruinart Rose,6,x6,,Ruinart Rose x6,I0030,1,1,Ruinart Rose x6,Ruinart Rose,6,x6,
42,52,CAVA,CAVA B,,,,,,,,,,,CAVA B ,,,,,,,,
43,54,BALDA,CAVA B,,BALDA 1,,,,,,,,,BALDA 1,,,,,,,,
44,55,ITEM,CAVA B,,BALDA 1,,,False,Ruinart Blanc de Blancs Magnum x2,Ruinart Blanc de Blancs Magnum,2,x2,,Ruinart Blanc de Blancs Magnum x2,I0031,1,1,Ruinart Blanc de Blancs Magnum x2,Ruinart Blanc de Blancs Magnum,2,x2,
45,56,ITEM,CAVA B,,BALDA 1,,,False,R de Ruinart Brut x1,R de Ruinart Brut,1,x1,,R de Ruinart Brut x1 ,I0032,1,1,R de Ruinart Brut x1,R de Ruinart Brut,1,x1,
46,57,ITEM,CAVA B,,BALDA 1,,,False,Gran Torelló Brut Nature Corpinat x2,Gran Torelló Brut Nature Corpinat,2,x2,,Gran Torelló Brut Nature Corpinat x2,I0033,1,1,Gran Torelló Brut Nature Corpinat x2,Gran Torelló Brut Nature Corpinat,2,x2,
47,58,ITEM,CAVA B,,BALDA 1,,,False,Turo D’ En Mota 2011 de Recadero x1,Turo D’ En Mota 2011 de Recadero,1,x1,,Turo D’ En Mota 2011 de Recadero x1 ,I0034,1,1,Turo D’ En Mota 2011 de Recadero x1,Turo D’ En Mota 2011 de Recadero,1,x1,
48,59,ITEM,CAVA B,,BALDA 1,,,False,Recadero Serral Del Vell Brut Nature 2018 Corpinat x1,Recadero Serral Del Vell Brut Nature 2018 Corpinat,1,x1,,Recadero Serral Del Vell Brut Nature 2018 Corpinat x1,I0035,1,1,Recadero Serral Del Vell Brut Nature 2018 Corpinat x1,Recadero Serral Del Vell Brut Nature 2018 Corpinat,1,x1,
49,60,ITEM,CAVA B,,BALDA 1,,,False,Bollinger R.D. Extra Brut 2008 x2,Bollinger R.D. Extra Brut 2008,2,x2,,Bollinger R.D. Extra Brut 2008 x2,I0036,1,1,Bollinger R.D. Extra Brut 2008 x2,Bollinger R.D. Extra Brut 2008,2,x2,
50,61,ITEM,CAVA B,,BALDA 1,,,False,Más del Serral 2010 x1,Más del Serral 2010,1,x1,,Más del Serral 2010 x1,I0037,1,1,Más del Serral 2010 x1,Más del Serral 2010,1,x1,
51,62,ITEM,CAVA B,,BALDA 1,,,False,Benoit Lahaye Grand Cru Champagne x1,Benoit Lahaye Grand Cru Champagne,1,x1,,Benoit Lahaye Grand Cru Champagne x1,I0038,1,1,Benoit Lahaye Grand Cru Champagne x1,Benoit Lahaye Grand Cru Champagne,1,x1,
52,63,ITEM,CAVA B,,BALDA 1,,,False,Dom Perignon Vintage 2015 x2,Dom Perignon Vintage 2015,2,x2,,Dom Perignon Vintage 2015 x2,I0039,1,1,Dom Perignon Vintage 2015 x2,Dom Perignon Vintage 2015,2,x2,
53,64,ITEM,CAVA B,,BALDA 1,,,False,Dom Perignon Vintage 2006 Plenitude 2 x2,Dom Perignon Vintage 2006 Plenitude 2,2,x2,,Dom Perignon Vintage 2006 Plenitude 2 x2,I0040,1,1,Dom Perignon Vintage 2006 Plenitude 2 x2,Dom Perignon Vintage 2006 Plenitude 2,2,x2,
54,65,ITEM,CAVA B,,BALDA 1,,,False,Más del Serral 2011 x1,Más del Serral 2011,1,x1,,Más del Serral 2011 x1,I0041,1,1,Más del Serral 2011 x1,Más del Serral 2011,1,x1,
