"nome","anada","bodega","tipo","pod"
"Château Trotanoy","2018","Château Trotanoy","Tinto","POD008788"
"Clos Du Clocher","2019","Clos Du Clocher","Tinto","POD010105"
"Clos Du Clocher","2021","Clos Du Clocher","Tinto","POD012440"
"Clos Fourtet","2018","Clos Fourtet","Tinto","POD016383"
"Clos Fourtet","2019","Clos Fourtet","Tinto","POD016285"
"Clos Fourtet","2019","Clos Fourtet","Tinto","POD_TEMP_1051"
"Cos d´Estournel","2021","Cos d´Estournel","Tinto","POD011855"
"Cos d´Estournel","2010","Cos d´Estournel","Tinto","POD007220"
"Cos d´Estournel","2017","Cos d´Estournel","Tinto","POD008383"
"Cos d´Estournel","2009","Cos d´Estournel","Tinto","POD011819"
"Cos d´Estournel","2019","Cos d´Estournel","Tinto","POD010119"
"Cos d´Estournel","2020","Cos d´Estournel","Tinto","POD010656"
"Cos d´Estournel","2022","Cos d´Estournel","Tinto","POD017993"
"Domaine de Chevalier","2015","Domaine de Chevalier","Tinto","POD006617"
"Château Cheval Blanc","2009","Château Cheval Blanc","Tinto","POD013564"
"Domaine de Chevalier","2022","Domaine de Chevalier","Tinto","POD017965"
"Château Haut-Brion","2018","Château Haut-Brion","Tinto","POD008777"
"Château Haut-Brion","2022","Château Haut-Brion","Tinto","POD017837"
"Château Ducru-Beaucaillou","2022","Château Ducru-Beaucaillou","Tinto","POD017957"
"Château La Mission Haut-Brion","2013","Château La Mission Haut-Brion","Tinto","POD002407"
"Château La Mission Haut-Brion","2014","Château La Mission Haut-Brion","Tinto","POD004309"
"Château La Mission Haut-Brion","2016","Château La Mission Haut-Brion","Tinto","POD007209"
"Château La Mission Haut-Brion","2017","Château La Mission Haut-Brion","Tinto","POD008353"
"Château La Mission Haut-Brion","2018","Château La Mission Haut-Brion","Tinto","POD008745"
"Château La Mission Haut-Brion","2020","Château La Mission Haut-Brion","Tinto","POD010666"
"Château La Mission Haut-Brion","2021","Château La Mission Haut-Brion","Tinto","POD011791"
"Château Angélus","2022","Château Angélus","Tinto","POD017976"
"Château Haut-Brion","2022","Château Haut-Brion","Tinto","POD_TEMP_1052"
"Château Haut-Brion","2019","Château Haut-Brion","Tinto","POD009474"
"Château Haut-Brion","2021","Château Haut-Brion","Tinto","POD011803"
"Château Mouton-Rothschild","2022","Château Mouton-Rothschild","Tinto","POD017989"
"Le Pin","2019","Le Pin","Tinto","POD013257"
"Le Pin","2020","Le Pin","Tinto","POD013258"
"Le Pin","2018","Le Pin","Tinto","POD008655"
"Le Pin","2021","Le Pin","Tinto","POD013259"
"Château Les Carmes Haut-Brion","2019","Château Les Carmes Haut-Brion","Tinto","POD010108"
"Château Les Carmes Haut-Brion","2021","Château Les Carmes Haut-Brion","Tinto","POD012439"
"Château Latour","2000","Château Latour","Tinto","POD017157"
"Château Latour","2015","Château Latour","Tinto","POD016294"
"Château Latour","2016","Château Latour","Tinto","POD009826"
"Château Cos d´Estournel","2021","Château Cos d´Estournel","Tinto","POD011800"
"Château Cos d´Estournel","2022","Château Cos d´Estournel","Tinto","POD017959"
"Château Angélus","2018","Château Angélus","Tinto","POD016289"
"Château Lafite-Rothschild","2019","Château Lafite-Rothschild","Tinto","POD010326"
"Château Lafite-Rothschild","2020","Château Lafite-Rothschild","Tinto","POD011137"
"Château Léoville-Las Cases","2009","Château Léoville-Las Cases","Tinto","POD016391"
"Château Lynch-Bages","2010","Château Lynch-Bages","Tinto","POD009446"
"Artadi","2022","Artadi","Tinto","POD_TEMP_1063"
"Comtes Georges de Vogüé","2022","Comtes Georges de Vogüé","Tinto","POD_TEMP_1074"
"Georges Roumier","2019","Georges Roumier","Tinto","POD_TEMP_1078"
"Raveneau","2022","Raveneau","Blanco","POD_TEMP_BM2_0014"
"Vincent Girardin","2022","Vincent Girardin","Blanco","POD_TEMP_BM2_0026"
"Jean Grivot","2023","Jean Grivot","Tinto","POD_TEMP_BM2_0054"
"Jean Grivot","2022","Jean Grivot","Tinto","POD_TEMP_BM2_0055"
"Michel Lafarge","2022","Michel Lafarge","Tinto","POD_TEMP_BM2_0058"
"Besson Frères","2022","Besson Frères","Tinto","POD_TEMP_BM2_0091"
"Seven Springs","2022","Seven Springs","Blanco","POD_TEMP_BM2_0095"
